iso-639-3	name	value	description	latitude	longitude	family
shp	Shipibo-Conibo	N/A	Not Applicable	-7.17105	-74.82192	Pano-Tacanan
jiv	Shuar	N/A	Not Applicable	-3.45136	-78.18923	Chicham
snn	Siona-Tetete	C	realized as suffixes	0.31733	-76.02367	Tucanoan
quh	South Bolivian Quechua	N/A	Not Applicable	-20.920095	-66.333145	Quechuan
ayc	Southern Aymara	N/A	Not Applicable	-17.14171	-70.34424	Aymaran
qup	Southern Pastaza Quechua	N/A	Not Applicable	-3.32733	-76.52697	Quechuan
spa	Spanish	A	no	40.4414175	-1.11788	Indo-European
tpj	Tapieté	N/A	Not Applicable	-21.4168866667	-62.68397	Tupian
tae	Tariana	C	realized as suffixes	0.440205	-68.904165	Arawakan
teh	Tehuelche	N/A	Not Applicable	-47.57963	-68.32346	Chonan
quw	Tena Lowland Quichua	N/A	Not Applicable	-0.76271	-77.54039	Quechuan
tob	Toba	?	Not known	-24.40253	-60.4472866667	Guaicuruan
tri	Trió	N/A	Not Applicable	2.53616	-55.759935	Cariban
tpy	Trumai	N/A	Not Applicable	-11.81195	-53.5717	Trumai
cof	Tsafiki	C	realized as suffixes	-0.21181	-79.23468	Barbacoan
tur	Turkish	E	realized as free morphemes	39.866667	32.866667	Turkic
ura	Urarina	N/A	Not Applicable	-4.44006	-75.42107	Urarina
ure	Uru	?	Not known	-16.72547	-68.97119	Uru-Chipaya
wba	Warao	N/A	Not Applicable	7.50850666667	-59.3527633333	Warao
pav	Wari	N/A	Not Applicable	-10.69948	-64.56152	Chapacuran
mtp	Wichí Lhamtés Nocten	A	no	-21.987995	-63.59711	Matacoan
yaa	Yaminahua	N/A	Not Applicable	-9.88459666667	-71.5964333333	Pano-Tacanan
ame	Yanesha'	C	realized as suffixes	-10.54539	-75.31497	Arawakan
yuq	Yuqui	?	Not known	-16.78752	-64.94382	Tupian
yuz	Yuracaré	N/A	Not Applicable	-16.74788	-65.12241	Yurakare
